Atom{element=Element{atomicNumber=1, symbol='H', name='Hydrogen', atomicMass=1.00794, cpkColor=16777215, eConfig='1s1', eNegativity=2.2, atomicRadius=37, bondingType='diatomic', density=8.99E-5, group='nonmetal', state=2}, bonds=null}
Atom{element=Element{atomicNumber=2, symbol='He', name='Helium', atomicMass=4.002602, cpkColor=14286847, eConfig='1s2', eNegativity=0.0, atomicRadius=32, bondingType='atomic', density=1.785E-4, group='noblegas', state=2}, bonds=null}
Atom{element=Element{atomicNumber=3, symbol='Li', name='Lithium', atomicMass=6.941, cpkColor=13402367, eConfig='[He]2s1', eNegativity=0.98, atomicRadius=134, bondingType='metallic', density=0.535, group='alkalimetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=4, symbol='Be', name='Beryllium', atomicMass=9.012182, cpkColor=12779264, eConfig='[He]2s2', eNegativity=1.57, atomicRadius=90, bondingType='metallic', density=1.848, group='alkalineearthmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=5, symbol='B', name='Boron', atomicMass=10.811, cpkColor=16758197, eConfig='[He]2s22p1', eNegativity=2.04, atomicRadius=82, bondingType='covalentnetwork', density=2.46, group='metalloid', state=0}, bonds=null}
Atom{element=Element{atomicNumber=6, symbol='C', name='Carbon', atomicMass=12.0107, cpkColor=9474192, eConfig='[He]2s22p2', eNegativity=2.55, atomicRadius=77, bondingType='covalentnetwork', density=2.26, group='nonmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=7, symbol='N', name='Nitrogen', atomicMass=14.0067, cpkColor=3166456, eConfig='[He]2s22p3', eNegativity=3.04, atomicRadius=75, bondingType='diatomic', density=0.001251, group='nonmetal', state=2}, bonds=null}
Atom{element=Element{atomicNumber=8, symbol='O', name='Oxygen', atomicMass=15.9994, cpkColor=16715021, eConfig='[He]2s22p4', eNegativity=3.44, atomicRadius=73, bondingType='diatomic', density=0.001429, group='nonmetal', state=2}, bonds=null}
Atom{element=Element{atomicNumber=9, symbol='F', name='Fluorine', atomicMass=18.9984032, cpkColor=9494608, eConfig='[He]2s22p5', eNegativity=3.98, atomicRadius=71, bondingType='atomic', density=0.001696, group='halogen', state=2}, bonds=null}
Atom{element=Element{atomicNumber=10, symbol='Ne', name='Neon', atomicMass=20.1797, cpkColor=11789301, eConfig='[He]2s22p6', eNegativity=0.0, atomicRadius=69, bondingType='atomic', density=9.0E-4, group='noblegas', state=2}, bonds=null}
Atom{element=Element{atomicNumber=11, symbol='Na', name='Sodium', atomicMass=22.98976928, cpkColor=11230450, eConfig='[Ne]3s1', eNegativity=0.93, atomicRadius=154, bondingType='metallic', density=0.968, group='alkalimetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=12, symbol='Mg', name='Magnesium', atomicMass=24.305, cpkColor=9109248, eConfig='[Ne]3s2', eNegativity=1.31, atomicRadius=130, bondingType='metallic', density=1.738, group='alkalineearthmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=13, symbol='Al', name='Aluminum', atomicMass=26.9815386, cpkColor=12560038, eConfig='[Ne]3s23p1', eNegativity=1.61, atomicRadius=118, bondingType='metallic', density=2.7, group='metal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=14, symbol='Si', name='Silicon', atomicMass=28.0855, cpkColor=15780000, eConfig='[Ne]3s23p2', eNegativity=1.9, atomicRadius=111, bondingType='metallic', density=2.33, group='metalloid', state=0}, bonds=null}
Atom{element=Element{atomicNumber=15, symbol='P', name='Phosphorus', atomicMass=30.973762, cpkColor=16744448, eConfig='[Ne]3s23p3', eNegativity=2.19, atomicRadius=106, bondingType='covalentnetwork', density=1.823, group='nonmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=16, symbol='S', name='Sulfur', atomicMass=32.065, cpkColor=16777008, eConfig='[Ne]3s23p4', eNegativity=2.58, atomicRadius=102, bondingType='covalentnetwork', density=1.96, group='nonmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=17, symbol='Cl', name='Chlorine', atomicMass=35.453, cpkColor=2093087, eConfig='[Ne]3s23p5', eNegativity=3.16, atomicRadius=99, bondingType='covalentnetwork', density=0.003214, group='halogen', state=2}, bonds=null}
Atom{element=Element{atomicNumber=18, symbol='Ar', name='Argon', atomicMass=39.948, cpkColor=8442339, eConfig='[Ne]3s23p6', eNegativity=0.0, atomicRadius=97, bondingType='atomic', density=0.001784, group='noblegas', state=2}, bonds=null}
Atom{element=Element{atomicNumber=19, symbol='K', name='Potassium', atomicMass=39.0983, cpkColor=9388244, eConfig='[Ar]4s1', eNegativity=0.82, atomicRadius=196, bondingType='metallic', density=0.856, group='alkalimetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=20, symbol='Ca', name='Calcium', atomicMass=40.078, cpkColor=4062976, eConfig='[Ar]4s2', eNegativity=1.0, atomicRadius=174, bondingType='metallic', density=1.55, group='alkalineearthmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=21, symbol='Sc', name='Scandium', atomicMass=44.955912, cpkColor=15132390, eConfig='[Ar]3d14s2', eNegativity=1.36, atomicRadius=144, bondingType='metallic', density=2.985, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=22, symbol='Ti', name='Titanium', atomicMass=47.867, cpkColor=12567239, eConfig='[Ar]3d24s2', eNegativity=1.54, atomicRadius=136, bondingType='metallic', density=4.507, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=23, symbol='V', name='Vanadium', atomicMass=50.9415, cpkColor=10921643, eConfig='[Ar]3d34s2', eNegativity=1.63, atomicRadius=125, bondingType='metallic', density=6.11, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=24, symbol='Cr', name='Chromium', atomicMass=51.9961, cpkColor=9083335, eConfig='[Ar]3d54s1', eNegativity=1.66, atomicRadius=127, bondingType='metallic', density=7.14, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=25, symbol='Mn', name='Manganese', atomicMass=54.938045, cpkColor=10255047, eConfig='[Ar]3d54s2', eNegativity=1.55, atomicRadius=139, bondingType='metallic', density=7.47, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=26, symbol='Fe', name='Iron', atomicMass=55.845, cpkColor=14706227, eConfig='[Ar]3d64s2', eNegativity=1.83, atomicRadius=125, bondingType='metallic', density=7.874, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=27, symbol='Co', name='Cobalt', atomicMass=58.933195, cpkColor=15765664, eConfig='[Ar]3d74s2', eNegativity=1.88, atomicRadius=126, bondingType='metallic', density=8.9, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=28, symbol='Ni', name='Nickel', atomicMass=58.6934, cpkColor=5296208, eConfig='[Ar]3d84s2', eNegativity=1.91, atomicRadius=121, bondingType='metallic', density=8.908, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=29, symbol='Cu', name='Copper', atomicMass=63.546, cpkColor=13140019, eConfig='[Ar]3d104s1', eNegativity=1.9, atomicRadius=138, bondingType='metallic', density=8.92, group='transitionmetal', state=0}, bonds=null}
Atom{element=Element{atomicNumber=30, symbol='Zn', name='Zinc', atomicMass=65.38, cpkColor=8224944, eConfig='[Ar]3d104s2', eNegativity=1.65, atomicRadius=131, bondingType='metallic', density=7.14, group='transitionmetal', state=0}, bonds=null}
