atomicNumber,symbol,name         ,atomicMass ,cpkColor,eConfig               ,eNegativity,atomicRadius,bondingType     ,density  ,type                ,state
1           ,H     ,Hydrogen     ,1.00794    ,FFFFFF  ,1s1                   ,2.2        ,37          ,diatomic        ,0.0000899,nonmetal             ,2
2           ,He    ,Helium       ,4.002602   ,D9FFFF  ,1s2                   ,           ,32          ,atomic          ,0.0001785,noble gas            ,2
3           ,Li    ,Lithium      ,6.941      ,CC80FF  ,[He] 2s1              ,0.98       ,134         ,metallic        ,0.535    ,alkali metal         ,0
4           ,Be    ,Beryllium    ,9.012182   ,C2FF00  ,[He] 2s2              ,1.57       ,90          ,metallic        ,1.848    ,alkaline earth metal ,0
5           ,B     ,Boron        ,10.811     ,FFB5B5  ,[He] 2s2 2p1          ,2.04       ,82          ,covalent network,2.46     ,metalloid            ,0
6           ,C     ,Carbon       ,12.0107    ,909090  ,[He] 2s2 2p2          ,2.55       ,77          ,covalent network,2.26     ,nonmetal             ,0
7           ,N     ,Nitrogen     ,14.0067    ,3050F8  ,[He] 2s2 2p3          ,3.04       ,75          ,diatomic        ,0.001251 ,nonmetal             ,2
8           ,O     ,Oxygen       ,15.9994    ,FF0D0D  ,[He] 2s2 2p4          ,3.44       ,73          ,diatomic        ,0.001429 ,nonmetal             ,2
9           ,F     ,Fluorine     ,18.9984032 ,90E050  ,[He] 2s2 2p5          ,3.98       ,71          ,atomic          ,0.001696 ,halogen              ,2
10          ,Ne    ,Neon         ,20.1797    ,B3E3F5  ,[He] 2s2 2p6          ,           ,69          ,atomic          ,0.0009   ,noble gas            ,2
11          ,Na    ,Sodium       ,22.98976928,AB5CF2  ,[Ne] 3s1              ,0.93       ,154         ,metallic        ,0.968    ,alkali metal         ,0
12          ,Mg    ,Magnesium    ,24.305     ,8AFF00  ,[Ne] 3s2              ,1.31       ,130         ,metallic        ,1.738    ,alkaline earth metal ,0
13          ,Al    ,Aluminum     ,26.9815386 ,BFA6A6  ,[Ne] 3s2 3p1          ,1.61       ,118         ,metallic        ,2.7      ,metal                ,0
14          ,Si    ,Silicon      ,28.0855    ,F0C8A0  ,[Ne] 3s2 3p2          ,1.9        ,111         ,metallic        ,2.33     ,metalloid            ,0
15          ,P     ,Phosphorus   ,30.973762  ,FF8000  ,[Ne] 3s2 3p3          ,2.19       ,106         ,covalent network,1.823    ,nonmetal             ,0
16          ,S     ,Sulfur       ,32.065     ,FFFF30  ,[Ne] 3s2 3p4          ,2.58       ,102         ,covalent network,1.96     ,nonmetal             ,0
17          ,Cl    ,Chlorine     ,35.453     ,1FF01F  ,[Ne] 3s2 3p5          ,3.16       ,99          ,covalent network,0.003214 ,halogen              ,2
18          ,Ar    ,Argon        ,39.948     ,80D1E3  ,[Ne] 3s2 3p6          ,           ,97          ,atomic          ,0.001784 ,noble gas            ,2
19          ,K     ,Potassium    ,39.0983    ,8F40D4  ,[Ar] 4s1              ,0.82       ,196         ,metallic        ,0.856    ,alkali metal         ,0
20          ,Ca    ,Calcium      ,40.078     ,3DFF00  ,[Ar] 4s2              ,1          ,174         ,metallic        ,1.55     ,alkaline earth metal ,0
21          ,Sc    ,Scandium     ,44.955912  ,E6E6E6  ,[Ar] 3d1 4s2          ,1.36       ,144         ,metallic        ,2.985    ,transition metal     ,0
22          ,Ti    ,Titanium     ,47.867     ,BFC2C7  ,[Ar] 3d2 4s2          ,1.54       ,136         ,metallic        ,4.507    ,transition metal     ,0
